OBJECTID,DruhNehody,HlavniPricina,Zavineni,Datum,Den,DenNoc,Alkohol,Usmrceno,Tezce,Lehce,StavPovrchu,Pocasi,SpecifikaceMista,DruhVozidla,Smyk,Skoda,X,Y,x,y
1260,Srážka s jedoucím nekolejovým vozidlem,Nedání přednosti v jizdě,Řidičem motorového vozidla,1/1/2018,Pondělí,Noc,Ne,0,0,1,Mokrý,Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,60000,16.61599368,49.1963041400001,1849683.9554818554,6308235.978302982
1262,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,1/1/2018,Pondělí,Den,Ne,0,0,2,Mokrý,Mlha,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,250000,16.595330679,49.1935570030001,1847383.760732274,6307768.012419761
1263,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,1/1/2018,Pondělí,Den,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,20000,16.5701746770001,49.2069636860001,1844583.407399244,6310052.043539348
1264,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,1/2/2018,Úterý,Den,Ne,0,0,0,Mokrý,Neztížené,Žádné,Nákladní automobil,Ne,10000,16.6061752150001,49.198516425,1848590.9689576873,6308612.85277487
1269,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,1/2/2018,Úterý,Den,Ne,0,0,1,Mokrý,Neztížené,Žádné,Osobní automobil,Ne,50000,16.676571681,49.2005803580001,1856427.4677064507,6308964.469897534
1270,Srážka s jedoucím nekolejovým vozidlem,Nesprávný způsob jízdy,Řidičem motorového vozidla,1/2/2018,Úterý,Den,Ne,0,1,1,Mokrý,Neztížené,Žádné,Osobní automobil,Ne,80000,16.648700408,49.190581781,1853324.8517883287,6307261.222309312
1271,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,1/2/2018,Úterý,Den,Ne,0,0,0,Mokrý,Neztížené,Žádné,Osobní automobil,Ne,10000,16.6011985430001,49.208052783,1848036.9683648024,6310237.614873186
1272,Srážka s pevnou překážkou,Nepřiměřená rychlost jízdy,Řidičem motorového vozidla,1/3/2018,Středa,Den,Ne,0,0,0,"Náledí, ujetý sníh - neposypané",Sněžení,Žádné,Osobní automobil,Ano,30000,16.645677678,49.226071602,1852988.3630239235,6313308.4364970885
1276,Srážka s chodcem,Nedání přednosti v jizdě,Řidičem motorového vozidla,1/3/2018,Středa,Den,Ne,0,0,1,Mokrý,Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,0,16.655216684,49.19653515,1854050.2403145186,6308275.331292332
1277,"Srážka s vozidlem zaparkovaným, odstaveným",Nepřiměřená rychlost jízdy,Řidičem motorového vozidla,1/3/2018,Středa,Den,Pod vlivem alkoholu,0,0,0,Mokrý,Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,10000,16.581676681,49.2077837210001,1845863.8046276222,6310191.768995107
