OBJECTID,ID,Datum,Den,Day,DenNoc,DayNight,DruhNehody,Type,Zavineni,CausedBy,Alkohol,Alcohol,HlavniPricina,MainCause,Usmrceno,Tezce,Lehce,DeathToll,HeavyInjuries,LightInjuries,StavPovrchu,RoadCondition,Pocasi,Weather,SpecifikaceMista,PlaceSituation,DruhVozidla,VehicleType,Smyk,Skyd,Skoda,X,Y,x2,y2
1,60040180001,1/2/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Jiný druh nehody,Other,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,Mokrý,Wet,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,0,16.4016266850001,49.2203133340001,16.4016266850001,49.2203133340001
2,60040180002,1/3/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Osobní automobil,Car,Ano,Yes,50000,16.342174685,49.2561439240001,16.342174685,49.2561439240001
3,60040180003,1/10/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,Mokrý,Wet,Déšť,Raining,Žádné,None,Osobní automobil,Car,Ne,No,40000,16.4934086850001,49.1777571550001,16.4934086850001,49.177757155
4,60040180004,1/1/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.467250097,49.1848886270001,16.467250097,49.1848886270001
5,60040180005,1/13/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.4423286840001,49.1902068210001,16.4423286840001,49.1902068210001
6,60040180006,1/16/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,2,0,0,2,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,320000,16.3585766910001,49.2484406,16.3585766910001,49.2484406
7,60040180007,1/16/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,10000,16.5240816900001,49.170982785,16.5240816900001,49.170982785
8,60040180008,1/19/2018 12:00:00 AM,Pátek,Friday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,Mokrý,Wet,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,50000,16.3282466900001,49.257722992,16.3282466900001,49.257722992
9,60040180009,2/9/2018 12:00:00 AM,Pátek,Friday,Den,Day,Jiný druh nehody,Other,Technickou závadou vozidla,Technical malfunction of a vehicle,Nezjišťováno,Not tested,Technická závada vozidla,Technical malfunction of vehicle,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.359451689,49.2479265810001,16.359451689,49.2479265810001
10,60040180010,2/17/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Osobní automobil,Car,Ano,Yes,30000,16.328604694,49.2573359740001,16.328604694,49.2573359740001
11,60040180011,2/19/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,150000,16.328614691,49.2573409770001,16.328614691,49.2573409770001
